ip,date,time,cik,accession,extention
128.189.94.hfe,2010-12-31,00:00:00,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:00,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:00,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:00,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:00,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:03,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:03,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:04,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:05,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:06,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:10,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:10,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:10,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:15,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:16,56873,0001206774-09-001069,.txt
128.189.94.hfe,2010-12-31,00:00:17,56873,0001206774-09-001069,.txt
